n_estimators,auc,aucpr,error,logloss
1,0.968169,0.946579,0.037504,0.636651
2,0.97585,0.95999,0.025843,0.586587
3,0.989634,0.983684,0.022691,0.54195
4,0.992213,0.987325,0.021431,0.501364
5,0.994456,0.989846,0.016388,0.465421
6,0.995064,0.991372,0.017019,0.433075
7,0.995378,0.992262,0.015128,0.403427
8,0.995163,0.99169,0.015443,0.377254
9,0.996536,0.993052,0.015128,0.354463
10,0.996743,0.993533,0.015443,0.331966
11,0.997035,0.994329,0.015443,0.311168
12,0.997135,0.99447,0.015128,0.292401
13,0.99707,0.994343,0.014497,0.275471
14,0.997251,0.994813,0.014497,0.259076
15,0.99721,0.994762,0.014497,0.244527
16,0.997181,0.994718,0.015128,0.230979
17,0.99725,0.994935,0.014497,0.218239
18,0.997244,0.994933,0.014812,0.206496
19,0.997277,0.99504,0.014497,0.195939
20,0.997853,0.9956,0.015443,0.186562
21,0.997823,0.995603,0.015128,0.177201
22,0.997843,0.995726,0.014497,0.168601
23,0.998575,0.99653,0.014497,0.159941
24,0.998556,0.996494,0.014497,0.152574
25,0.998678,0.996735,0.014497,0.145752
26,0.998679,0.996762,0.013867,0.138828
27,0.99884,0.997003,0.013867,0.13264
28,0.998984,0.997294,0.014182,0.127616
29,0.99895,0.997221,0.014497,0.122345
30,0.998994,0.997328,0.013867,0.117925
31,0.999071,0.997519,0.013867,0.112677
32,0.999057,0.9975,0.012922,0.108165
33,0.999064,0.997526,0.012922,0.103709
34,0.999068,0.997536,0.011976,0.099724
35,0.999089,0.99758,0.012291,0.096119
36,0.999098,0.997614,0.011661,0.092486
37,0.999135,0.997724,0.011031,0.089066
38,0.999128,0.997701,0.010715,0.086243
39,0.999172,0.997826,0.0104,0.082846
40,0.999247,0.998006,0.009455,0.08035
41,0.99926,0.998042,0.009455,0.077583
42,0.99926,0.998047,0.00914,0.074953
43,0.999299,0.998115,0.009455,0.072556
44,0.999333,0.998213,0.008824,0.069859
45,0.999391,0.998345,0.008824,0.067468
46,0.999408,0.998403,0.008509,0.065648
47,0.999442,0.998499,0.008194,0.06338
48,0.999428,0.998474,0.007249,0.061514
