feature,bin,cnt_0,cnt_1,pct_0,pct_1,woe,adj_woe
longitude,"(-133.221, -124.357]",280.0,67.0,0.11661807580174927,0.08690012970168612,-0.2941447611203598,-0.28849390442634326
longitude,"(-124.357, -117.423]",208.0,87.0,0.08663057059558517,0.11284046692607004,0.2643222616111895,0.26765197478263625
longitude,"(-117.423, -112.39]",266.0,46.0,0.11078717201166181,0.05966277561608301,-0.6189026896346803,-0.6099697083546648
longitude,"(-112.39, -105.677]",203.0,111.0,0.08454810495626822,0.14396887159533073,0.5322764449284705,0.5343108086754476
longitude,"(-105.677, -98.581]",231.0,121.0,0.09620991253644315,0.1569390402075227,0.48932505773287127,0.491286611912238
longitude,"(-98.581, -92.902]",159.0,125.0,0.06622240733027905,0.1621271076523995,0.8953617577399934,0.8962140590048632
longitude,"(-92.902, -88.581]",276.0,40.0,0.1149521032902957,0.05188067444876784,-0.7955691889452898,-0.7849566241919723
longitude,"(-88.581, -83.442]",313.0,4.0,0.13036234902124114,0.005188067444876783,-3.223956606762339,-3.1077697406387776
longitude,"(-83.442, -79.789]",370.0,6.0,0.1541024573094544,0.007782101167315175,-2.9857913137522916,-2.9070990451766265
longitude,"(-79.789, -73.644]",95.0,164.0,0.03956684714702208,0.2127107652399481,1.681941758881581,1.6797365453766657
latitude,"(28.655, 32.288]",172.0,201.0,0.07166666666666667,0.2607003891050584,1.2913460740183302,1.290927787688031
latitude,"(32.288, 34.111]",284.0,10.0,0.11833333333333333,0.01297016861219196,-2.210853502394453,-2.1638223536302004
latitude,"(34.111, 35.615]",264.0,22.0,0.11,0.028534370946822308,-1.349371007015293,-1.3287902993152723
latitude,"(35.615, 37.146]",241.0,76.0,0.10041666666666667,0.09857328145265888,-0.018527950431616466,-0.014043089487429862
latitude,"(37.146, 39.339]",247.0,68.0,0.10291666666666667,0.08819714656290532,-0.15434498867916294,-0.14904119396785787
latitude,"(39.339, 42.755]",267.0,60.0,0.11125,0.07782101167315175,-0.3573684534054414,-0.35094055852655803
latitude,"(42.755, 45.472]",267.0,48.0,0.11125,0.0622568093385214,-0.580512004719651,-0.5720201256199163
latitude,"(45.472, 46.658]",133.0,180.0,0.05541666666666667,0.23346303501945526,1.438143365441164,1.437164942705339
latitude,"(46.658, 48.89]",253.0,61.0,0.10541666666666667,0.07911802853437094,-0.2869799817815016,-0.28079100544605823
latitude,"(48.89, 55.72]",272.0,45.0,0.11333333333333333,0.058365758754863814,-0.66360393375297,-0.6543906453736864
amount,"(0.03, 10.544]",286.0,31.0,0.11911703456892961,0.040207522697795074,-1.0860523836767824,-1.0717987676652831
amount,"(10.544, 32.764]",260.0,57.0,0.10828821324448147,0.07392996108949416,-0.3816781405230538,-0.37486569073219306
amount,"(32.764, 61.95]",255.0,62.0,0.10620574760516452,0.08041504539559015,-0.2781769374554109,-0.27210363024347944
amount,"(61.95, 104.324]",265.0,52.0,0.11037067888379842,0.06744487678339818,-0.4925338847468712,-0.48484944842649186
amount,"(104.324, 162.96]",256.0,62.0,0.10662224073302791,0.08041504539559015,-0.28209083677654717,-0.2760098852105446
amount,"(162.96, 248.484]",250.0,67.0,0.10412328196584757,0.08690012970168612,-0.1808160758133567,-0.17537909998851162
