feature_1,feature_2,correlation
profileRawAmountPercentile10,profileRawAmountPercentile25,0.9619492503916877
profileRawMeanSessionAction1Count,profileRawMeanSessionAction5Count,0.9611137872669441
profileRawMeanSessionAction5Count,profileRawMeanSessionAction1Count,0.9611137872669441
profileRawStdSessionTransactionFromSavingsCount,profileRawMeanSessionTransactionFromSavingsCount,0.9608798633059781
profileRawMeanSessionTransactionFromSavingsCount,profileRawStdSessionTransactionFromSavingsCount,0.9608798633059781
profileRawStdSessionAction5Count,profileRawStdSessionActionCount,0.9602675894691319
profileRawStdSessionActionCount,profileRawStdSessionAction5Count,0.9602675894691319
profileRawStdSessionAction9Count,profileRawMeanSessionAction9Count,0.9600372939280213
profileRawMeanSessionAction9Count,profileRawStdSessionAction9Count,0.9600372939280213
profileRawStdSecondsToTransaction,profileRawMeanSessionActionCount,0.959465671197164
profileRawMeanSessionActionCount,profileRawStdSecondsToTransaction,0.959465671197164
profileRawStdSessionAction3Count,profileRawMeanSessionAction3Count,0.9588220873182025
profileRawMeanSessionAction3Count,profileRawStdSessionAction3Count,0.9588220873182025
profileSecondsToTransactionZScore,profileSessionTransactionCountZScore,0.958092457555533
profileSessionTransactionCountZScore,profileSecondsToTransactionZScore,0.958092457555533
profileRawMeanSessionTransactionFromCreditCardCount,profileRawStdSessionTransactionFromCreditCardCount,0.9561961833465715
profileRawStdSessionTransactionFromCreditCardCount,profileRawMeanSessionTransactionFromCreditCardCount,0.9561961833465715
profileRawMeanSessionAction0Count,profileRawStdSessionAction0Count,0.9540535976178373
profileRawStdSessionAction0Count,profileRawMeanSessionAction0Count,0.9540535976178373
profileSessionTransactionCountZScore,profileSessionAction6CountZScore,0.9537103386205129
profileSessionAction6CountZScore,profileSessionTransactionCountZScore,0.9537103386205129
profileRawMeanSessionAction5Count,profileRawStdSessionAction1Count,0.9523722693614799
profileRawStdSessionAction1Count,profileRawMeanSessionAction5Count,0.9523722693614799
profileSessionAction6CountZScore,profileSessionAction9CountZScore,0.9516486387377049
profileSessionAction9CountZScore,profileSessionAction6CountZScore,0.9516486387377049
profileRawAmountAvg,profileRawAmountPercentile75,0.9513212790482541
profileRawAmountPercentile75,profileRawAmountAvg,0.9513212790482541
profileSecondsToTransactionZScore,profileSessionAction6CountZScore,0.9512331194178011
profileSessionAction6CountZScore,profileSecondsToTransactionZScore,0.9512331194178011
profileDistinctRecipientCount,profileRawTransactionCount,0.950904837347729
profileRawTransactionCount,profileDistinctRecipientCount,0.950904837347729
profileRawStdSessionAction5Count,profileRawMeanSessionAction1Count,0.949905109525011
profileRawMeanSessionAction1Count,profileRawStdSessionAction5Count,0.949905109525011
profileSessionTransactionFromCheckingCountZScore,profileSessionAction7CountZScore,0.9496910935963475
profileSessionAction7CountZScore,profileSessionTransactionFromCheckingCountZScore,0.9496910935963475
distinctRecipientCount,action4Count,0.9424064972240321
action4Count,distinctRecipientCount,0.9424064972240321
profileRawMeanSessionAction5Count,profileRawMeanSessionActionCount,0.9414332734276287
profileRawMeanSessionActionCount,profileRawMeanSessionAction5Count,0.9414332734276287
profileRawStdSecondsToTransaction,profileRawStdSessionAction5Count,0.9412439657780465
profileRawStdSessionAction5Count,profileRawStdSecondsToTransaction,0.9412439657780465
profileSessionAction9CountZScore,profileSecondsToTransactionZScore,0.9401781008912669
profileSecondsToTransactionZScore,profileSessionAction9CountZScore,0.9401781008912669
profileSessionAction6CountZScore,profileSessionAction7CountZScore,0.9397141449740619
profileSessionAction7CountZScore,profileSessionAction6CountZScore,0.9397141449740619
profileRawMeanSessionActionCount,profileRawStdSessionAction5Count,0.9395354991632566
profileRawStdSessionAction5Count,profileRawMeanSessionActionCount,0.9395354991632566
profileRawMeanSessionAction8Count,profileRawStdSessionAction8Count,0.9381231860756076
profileRawStdSessionAction8Count,profileRawMeanSessionAction8Count,0.9381231860756076
profileRawMeanSessionAction5Count,profileRawStdSessionActionCount,0.9372337946349365
profileRawStdSessionActionCount,profileRawMeanSessionAction5Count,0.9372337946349365
amountSum,transactionCount,0.9359701550364262
transactionCount,amountSum,0.9359701550364262
profileRawStdSessionActionCount,profileRawStdSessionAction6Count,0.9352661271650569
profileRawStdSessionAction6Count,profileRawStdSessionActionCount,0.9352661271650569
profileRawAmountAvg,profileRawAmountPercentile50,0.9349757275711178
profileRawAmountPercentile50,profileRawAmountAvg,0.9349757275711178
profileSessionAction7CountZScore,profileSecondsToTransactionZScore,0.9335433368668737
profileSecondsToTransactionZScore,profileSessionAction7CountZScore,0.9335433368668737
profileSessionAction9CountZScore,profileSessionTransactionFromCheckingCountZScore,0.9333460725215269
profileSessionTransactionFromCheckingCountZScore,profileSessionAction9CountZScore,0.9333460725215269
profileRawStdSessionAction1Count,profileRawStdSessionActionCount,0.9331886712264441
profileRawStdSessionActionCount,profileRawStdSessionAction1Count,0.9331886712264441
profileSessionActionCountZScore,profileSessionTransactionCountZScore,0.9322740704237762
profileSessionTransactionCountZScore,profileSessionActionCountZScore,0.9322740704237762
transactionCount,actionCount,0.9309793747502865
actionCount,transactionCount,0.9309793747502865
profileRawMeanSecondsToTransaction,profileRawMeanSessionAction5Count,0.9300423072941143
profileRawMeanSessionAction5Count,profileRawMeanSecondsToTransaction,0.9300423072941143
action7Count,action9Count,0.9295774018213916
action9Count,action7Count,0.9295774018213916
transactionCount,action7Count,0.9284427560068591
action7Count,transactionCount,0.9284427560068591
profileRawMeanSecondsToTransaction,profileRawStdSessionAction5Count,0.9279798838003539
profileRawStdSessionAction5Count,profileRawMeanSecondsToTransaction,0.9279798838003539
transactionCount,action4Count,0.9278368421309848
action4Count,transactionCount,0.9278368421309848
profileRawMeanSessionActionCount,profileRawMeanSessionTransactionCount,0.9263161751180587
profileRawMeanSessionTransactionCount,profileRawMeanSessionActionCount,0.9263161751180587
profileRawAmountPercentile25,profileRawAmountMin,0.9261994172193541
profileRawAmountMin,profileRawAmountPercentile25,0.9261994172193541
profileRawStdSessionTransactionCount,profileRawStdSessionActionCount,0.9250548290731029
profileRawStdSessionActionCount,profileRawStdSessionTransactionCount,0.9250548290731029
profileRawStdSessionTransactionCount,profileRawMeanSessionActionCount,0.9240208796347699
profileRawMeanSessionActionCount,profileRawStdSessionTransactionCount,0.9240208796347699
profileSessionAction6CountZScore,profileSessionActionCountZScore,0.9234267059452491
profileSessionActionCountZScore,profileSessionAction6CountZScore,0.9234267059452491
profileRawMeanSessionActionCount,profileRawMeanSessionAction7Count,0.9230213832754831
profileRawMeanSessionAction7Count,profileRawMeanSessionActionCount,0.9230213832754831
profileRawMeanSessionActionCount,profileRawStdSessionAction7Count,0.9227058740431713
profileRawStdSessionAction7Count,profileRawMeanSessionActionCount,0.9227058740431713
secondsToTransaction,action5Count,0.921239003092613
action5Count,secondsToTransaction,0.921239003092613
profileSessionAction9CountZScore,profileSessionActionCountZScore,0.9194387686466365
profileSessionActionCountZScore,profileSessionAction9CountZScore,0.9194387686466365
profileRawAmountStd,profileRawAmountMax,0.9191720764749499
profileRawAmountMax,profileRawAmountStd,0.9191720764749499
profileRawStdSessionAction7Count,profileRawStdSessionActionCount,0.9190685542373037
profileRawStdSessionActionCount,profileRawStdSessionAction7Count,0.9190685542373037
profileRawMeanSessionAction5Count,profileRawStdSecondsToTransaction,0.9175717519106154
profileRawStdSecondsToTransaction,profileRawMeanSessionAction5Count,0.9175717519106154
profileRawStdSessionAction1Count,profileRawStdSessionAction6Count,0.9174409258492857
profileRawStdSessionAction6Count,profileRawStdSessionAction1Count,0.9174409258492857
profileRawMeanSessionAction1Count,profileRawMeanSessionActionCount,0.9166230184738677
profileRawMeanSessionActionCount,profileRawMeanSessionAction1Count,0.9166230184738677
profileRawMeanSecondsToTransaction,profileRawStdSessionTransactionCount,0.9164294344962387
profileRawStdSessionTransactionCount,profileRawMeanSecondsToTransaction,0.9164294344962387
profileSessionActionCountZScore,profileSessionAction7CountZScore,0.9155419167052772
profileSessionAction7CountZScore,profileSessionActionCountZScore,0.9155419167052772
profileRawMeanSessionAction6Count,profileRawMeanSessionActionCount,0.9152162601238083
profileRawMeanSessionActionCount,profileRawMeanSessionAction6Count,0.9152162601238083
profileRawStdSessionActionCount,profileRawMeanSessionAction1Count,0.9149994305526575
profileRawMeanSessionAction1Count,profileRawStdSessionActionCount,0.9149994305526575
distinctRecipientCount,amountSum,0.9141283873988653
amountSum,distinctRecipientCount,0.9141283873988653
profileRawStdSessionAction6Count,profileRawMeanSessionActionCount,0.9138698597233998
profileRawMeanSessionActionCount,profileRawStdSessionAction6Count,0.9138698597233998
profileRawStdSessionAction1Count,profileRawStdSecondsToTransaction,0.913267796278297
profileRawStdSecondsToTransaction,profileRawStdSessionAction1Count,0.913267796278297
profileRawStdSecondsToTransaction,profileRawStdSessionAction6Count,0.9125006788189496
profileRawStdSessionAction6Count,profileRawStdSecondsToTransaction,0.9125006788189496
profileRawStdSecondsToTransaction,profileRawStdSessionTransactionCount,0.9120186119814333
profileRawStdSessionTransactionCount,profileRawStdSecondsToTransaction,0.9120186119814333
profileRawMeanSessionTransactionCount,profileRawMeanSecondsToTransaction,0.9111173492493831
profileRawMeanSecondsToTransaction,profileRawMeanSessionTransactionCount,0.9111173492493831
profileRawStdSessionAction1Count,profileRawMeanSessionActionCount,0.9108678782933525
profileRawMeanSessionActionCount,profileRawStdSessionAction1Count,0.9108678782933525
profileRawAmountStd,profileRawAmountPercentile90,0.9088923207510485
profileRawAmountPercentile90,profileRawAmountStd,0.9088923207510485
transactionCount,repeatedRecipientCount,0.9083230101443488
repeatedRecipientCount,transactionCount,0.9083230101443488
profileRawAmountAvg,profileRawAmountPercentile90,0.907705650979464
profileRawAmountPercentile90,profileRawAmountAvg,0.907705650979464
action1Count,action5Count,0.9073202365653493
action5Count,action1Count,0.9073202365653493
profileRawMeanSessionTransactionCount,profileRawStdSessionActionCount,0.907040254834599
profileRawStdSessionActionCount,profileRawMeanSessionTransactionCount,0.907040254834599
profileRawStdSessionTransactionCount,profileRawStdSessionTransactionFromCheckingCount,0.9062998011856912
profileRawStdSessionTransactionFromCheckingCount,profileRawStdSessionTransactionCount,0.9062998011856912
profileRawStdSessionActionCount,profileRawMeanSessionAction6Count,0.9033768018448595
profileRawMeanSessionAction6Count,profileRawStdSessionActionCount,0.9033768018448595
repeatedRecipientCount,actionCount,0.9033250607814529
actionCount,repeatedRecipientCount,0.9033250607814529
profileRawMeanSessionTransactionCount,profileRawStdSessionTransactionFromCheckingCount,0.901817763019446
profileRawStdSessionTransactionFromCheckingCount,profileRawMeanSessionTransactionCount,0.901817763019446
profileRawMeanSessionTransactionCount,profileRawMeanSessionTransactionFromCheckingCount,0.8987818204471094
profileRawMeanSessionTransactionFromCheckingCount,profileRawMeanSessionTransactionCount,0.8987818204471094
profileRawStdSessionAction6Count,profileRawStdSessionAction5Count,0.8986993651330349
profileRawStdSessionAction5Count,profileRawStdSessionAction6Count,0.8986993651330349
profileRawMeanSecondsToTransaction,profileRawStdSessionAction7Count,0.8980804793679338
profileRawStdSessionAction7Count,profileRawMeanSecondsToTransaction,0.8980804793679338
profileRawMeanSessionAction1Count,profileRawMeanSecondsToTransaction,0.8976461291431931
profileRawMeanSecondsToTransaction,profileRawMeanSessionAction1Count,0.8976461291431931
actionCount,action7Count,0.8975841628587365
action7Count,actionCount,0.8975841628587365
actionCount,action4Count,0.8963996900535608
action4Count,actionCount,0.8963996900535608
profileRawStdSessionAction1Count,profileRawStdSessionAction2Count,0.8956954640742638
profileRawStdSessionAction2Count,profileRawStdSessionAction1Count,0.8956954640742638
profileRawMeanSecondsToTransaction,profileRawStdSessionAction1Count,0.8948651462487933
profileRawStdSessionAction1Count,profileRawMeanSecondsToTransaction,0.8948651462487933
profileRawStdSecondsToTransaction,profileRawMeanSessionAction1Count,0.892586595400721
profileRawMeanSessionAction1Count,profileRawStdSecondsToTransaction,0.892586595400721
profileSecondsToTransactionZScore,profileSessionTransactionFromCheckingCountZScore,0.8918358395418322
profileSessionTransactionFromCheckingCountZScore,profileSecondsToTransactionZScore,0.8918358395418322
action5Count,actionCount,0.8917913180159053
actionCount,action5Count,0.8917913180159053
profileRawStdSessionTransactionCount,profileRawTransactionCount,0.8909715815035957
profileRawTransactionCount,profileRawStdSessionTransactionCount,0.8909715815035957
profileRawStdSecondsToTransaction,profileRawStdSessionAction7Count,0.8907339590545564
profileRawStdSessionAction7Count,profileRawStdSecondsToTransaction,0.8907339590545564
profileRawAmountPercentile50,profileRawAmountPercentile75,0.8899604792905035
profileRawAmountPercentile75,profileRawAmountPercentile50,0.8899604792905035
profileRawStdSessionAction6Count,profileRawMeanSecondsToTransaction,0.8897452218102524
profileRawMeanSecondsToTransaction,profileRawStdSessionAction6Count,0.8897452218102524
profileRawStdSessionAction6Count,profileRawMeanSessionAction1Count,0.8894400138346114
profileRawMeanSessionAction1Count,profileRawStdSessionAction6Count,0.8894400138346114
profileRawMeanSessionAction7Count,profileRawMeanSecondsToTransaction,0.8884186878301564
profileRawMeanSecondsToTransaction,profileRawMeanSessionAction7Count,0.8884186878301564
profileRawMeanSessionTransactionCount,profileRawStdSecondsToTransaction,0.8875955050639347
profileRawStdSecondsToTransaction,profileRawMeanSessionTransactionCount,0.8875955050639347
profileRawStdSessionTransactionCount,profileRawMeanSessionTransactionFromCheckingCount,0.8875545160908171
profileRawMeanSessionTransactionFromCheckingCount,profileRawStdSessionTransactionCount,0.8875545160908171
profileRawStdSessionActionCount,profileRawMeanSessionAction7Count,0.8863140108008373
profileRawMeanSessionAction7Count,profileRawStdSessionActionCount,0.8863140108008373
action2Count,action1Count,0.8846298858582161
action1Count,action2Count,0.8846298858582161
actionCount,action6Count,0.8838600861569008
action6Count,actionCount,0.8838600861569008
profileRawMeanSessionAction1Count,profileRawStdSessionAction2Count,0.8838592175747498
profileRawStdSessionAction2Count,profileRawMeanSessionAction1Count,0.8838592175747498
secondsToTransaction,transactionCount,0.883714857459712
transactionCount,secondsToTransaction,0.883714857459712
profileRawMeanSessionAction6Count,profileRawMeanSecondsToTransaction,0.8803932862349183
profileRawMeanSecondsToTransaction,profileRawMeanSessionAction6Count,0.8803932862349183
action7Count,repeatedRecipientCount,0.8795702776160005
repeatedRecipientCount,action7Count,0.8795702776160005
action4Count,amountSum,0.8790311145502921
amountSum,action4Count,0.8790311145502921
action9Count,transactionCount,0.8789933856083199
transactionCount,action9Count,0.8789933856083199
action7Count,distinctRecipientCount,0.8785224288450709
distinctRecipientCount,action7Count,0.8785224288450709
profileSessionActionCountZScore,profileSessionTransactionFromCheckingCountZScore,0.8780395109927829
profileSessionTransactionFromCheckingCountZScore,profileSessionActionCountZScore,0.8780395109927829
profileRawMeanSessionAction1Count,profileRawMeanSessionAction2Count,0.8765231381315535
profileRawMeanSessionAction2Count,profileRawMeanSessionAction1Count,0.8765231381315535
profileRawAmountPercentile75,profileRawAmountPercentile90,0.8755652425095829
profileRawAmountPercentile90,profileRawAmountPercentile75,0.8755652425095829
profileRawMeanSessionTransactionCount,profileRawTransactionCount,0.8753396563343222
profileRawTransactionCount,profileRawMeanSessionTransactionCount,0.8753396563343222
profileRawStdSessionAction7Count,profileRawStdSessionAction5Count,0.8750751850101814
profileRawStdSessionAction5Count,profileRawStdSessionAction7Count,0.8750751850101814
profileSecondsToTransactionZScore,profileSessionAction4CountZScore,0.8749032568981847
profileSessionAction4CountZScore,profileSecondsToTransactionZScore,0.8749032568981847
profileSessionAction6CountZScore,profileSessionTransactionFromCheckingCountZScore,0.8744224860779128
profileSessionTransactionFromCheckingCountZScore,profileSessionAction6CountZScore,0.8744224860779128
profileRawMeanSessionAction6Count,profileRawStdSecondsToTransaction,0.8710556508949362
profileRawStdSecondsToTransaction,profileRawMeanSessionAction6Count,0.8710556508949362
amountSum,action7Count,0.8706551405677708
action7Count,amountSum,0.8706551405677708
profileSessionAction6CountZScore,profileSessionAction4CountZScore,0.8705271497438928
profileSessionAction4CountZScore,profileSessionAction6CountZScore,0.8705271497438928
action2Count,action5Count,0.8700969549890952
action5Count,action2Count,0.8700969549890952
profileRawStdSessionAction1Count,profileRawMeanSessionAction2Count,0.8699010197409427
profileRawMeanSessionAction2Count,profileRawStdSessionAction1Count,0.8699010197409427
action4Count,action7Count,0.8698743546671812
action7Count,action4Count,0.8698743546671812
profileSessionAction9CountZScore,profileSessionAction4CountZScore,0.8690043681154832
profileSessionAction4CountZScore,profileSessionAction9CountZScore,0.8690043681154832
action9Count,amountSum,0.8685039314731714
amountSum,action9Count,0.8685039314731714
repeatedRecipientCount,secondsToTransaction,0.8684790339323433
secondsToTransaction,repeatedRecipientCount,0.8684790339323433
distinctRecipientCount,actionCount,0.8683534549535228
actionCount,distinctRecipientCount,0.8683534549535228
profileSessionAction9CountZScore,action9Count,0.8682881111890729
action9Count,profileSessionAction9CountZScore,0.8682881111890729
profileRawMeanSessionAction6Count,profileRawStdSessionAction1Count,0.8682290288479156
profileRawStdSessionAction1Count,profileRawMeanSessionAction6Count,0.8682290288479156
profileRawMeanSessionAction5Count,profileRawStdSessionAction6Count,0.866165369959419
profileRawStdSessionAction6Count,profileRawMeanSessionAction5Count,0.866165369959419
secondsToTransaction,action6Count,0.8657117919812124
action6Count,secondsToTransaction,0.8657117919812124
profileRawMeanSessionAction6Count,profileRawMeanSessionAction7Count,0.865241760924919
profileRawMeanSessionAction7Count,profileRawMeanSessionAction6Count,0.865241760924919
profileRawStdSessionAction2Count,profileRawStdSessionAction5Count,0.8644880298753461
profileRawStdSessionAction5Count,profileRawStdSessionAction2Count,0.8644880298753461
profileRawStdSessionAction6Count,profileRawStdSessionAction7Count,0.8639006975491805
profileRawStdSessionAction7Count,profileRawStdSessionAction6Count,0.8639006975491805
profileRawStdSessionAction2Count,profileRawMeanSessionAction5Count,0.8627988690642708
profileRawMeanSessionAction5Count,profileRawStdSessionAction2Count,0.8627988690642708
profileRawStdSessionTransactionCount,profileRawStdSessionAction5Count,0.862543475406431
profileRawStdSessionAction5Count,profileRawStdSessionTransactionCount,0.862543475406431
profileSessionAction4CountZScore,profileSessionTransactionCountZScore,0.8625348514355117
profileSessionTransactionCountZScore,profileSessionAction4CountZScore,0.8625348514355117
profileRawStdSessionTransactionFromCheckingCount,profileRawStdSessionActionCount,0.8617826845008557
profileRawStdSessionActionCount,profileRawStdSessionTransactionFromCheckingCount,0.8617826845008557
profileRawStdSessionAction2Count,profileRawStdSessionActionCount,0.8608764202335789
profileRawStdSessionActionCount,profileRawStdSessionAction2Count,0.8608764202335789
repeatedRecipientCount,action9Count,0.8604284875198321
action9Count,repeatedRecipientCount,0.8604284875198321
profileRawMeanSessionAction1Count,profileRawMeanSessionAction6Count,0.8596590205659658
profileRawMeanSessionAction6Count,profileRawMeanSessionAction1Count,0.8596590205659658
action4Count,secondsToTransaction,0.8560655889775715
secondsToTransaction,action4Count,0.8560655889775715
profileRawMeanSessionAction2Count,profileRawMeanSessionAction5Count,0.855559724991379
profileRawMeanSessionAction5Count,profileRawMeanSessionAction2Count,0.855559724991379
profileRawStdSessionTransactionFromCheckingCount,profileRawMeanSessionActionCount,0.8548802768640057
profileRawMeanSessionActionCount,profileRawStdSessionTransactionFromCheckingCount,0.8548802768640057
profileSessionAction4CountZScore,profileSessionActionCountZScore,0.8547893695812953
profileSessionActionCountZScore,profileSessionAction4CountZScore,0.8547893695812953
profileRawStdSecondsToTransaction,profileRawStdSessionTransactionFromCheckingCount,0.8535697469453559
profileRawStdSessionTransactionFromCheckingCount,profileRawStdSecondsToTransaction,0.8535697469453559
profileRawStdSessionAction7Count,profileRawMeanSessionAction5Count,0.8533168604565166
profileRawMeanSessionAction5Count,profileRawStdSessionAction7Count,0.8533168604565166
profileRawMeanSessionTransactionFromCheckingCount,profileRawMeanSessionActionCount,0.852345462802447
profileRawMeanSessionActionCount,profileRawMeanSessionTransactionFromCheckingCount,0.852345462802447
profileRawStdSessionAction2Count,profileRawMeanSessionActionCount,0.851907633756766
profileRawMeanSessionActionCount,profileRawStdSessionAction2Count,0.851907633756766
profileSessionAction6CountZScore,amountSum,0.8515260288668921
amountSum,profileSessionAction6CountZScore,0.8515260288668921
profileRawStdSessionTransactionFromCheckingCount,profileRawMeanSecondsToTransaction,0.8505648754836086
profileRawMeanSecondsToTransaction,profileRawStdSessionTransactionFromCheckingCount,0.8505648754836086
profileRawMeanSessionAction6Count,profileRawStdSessionAction7Count,0.8505361260258029
profileRawStdSessionAction7Count,profileRawMeanSessionAction6Count,0.8505361260258029
profileRawStdSecondsToTransaction,profileRawMeanSessionAction7Count,0.8503183380582506
profileRawMeanSessionAction7Count,profileRawStdSecondsToTransaction,0.8503183380582506
profileRawMeanSessionAction2Count,profileRawMeanSessionActionCount,0.848337124083593
profileRawMeanSessionActionCount,profileRawMeanSessionAction2Count,0.848337124083593
profileRawStdSessionAction5Count,profileRawMeanSessionAction6Count,0.8477678672350776
profileRawMeanSessionAction6Count,profileRawStdSessionAction5Count,0.8477678672350776
profileRawMeanSessionTransactionFromCheckingCount,profileRawStdSessionActionCount,0.8456264728554617
profileRawStdSessionActionCount,profileRawMeanSessionTransactionFromCheckingCount,0.8456264728554617
profileRawStdSessionTransactionCount,profileRawMeanSessionAction5Count,0.8451274536089296
profileRawMeanSessionAction5Count,profileRawStdSessionTransactionCount,0.8451274536089296
profileSessionAction6CountZScore,action9Count,0.8449962103626624
action9Count,profileSessionAction6CountZScore,0.8449962103626624
profileSessionTransactionCountZScore,action9Count,0.8442396923639823
action9Count,profileSessionTransactionCountZScore,0.8442396923639823
profileRawStdSessionAction5Count,profileRawMeanSessionTransactionCount,0.8439396996056387
profileRawMeanSessionTransactionCount,profileRawStdSessionAction5Count,0.8439396996056387
profileRawStdSessionTransactionCount,profileDistinctRecipientCount,0.8431068734091545
profileDistinctRecipientCount,profileRawStdSessionTransactionCount,0.8431068734091545
profileRawMeanSecondsToTransaction,profileRawMeanSessionTransactionFromCheckingCount,0.8422029046075614
profileRawMeanSessionTransactionFromCheckingCount,profileRawMeanSecondsToTransaction,0.8422029046075614
profileRawMeanSessionAction5Count,profileRawMeanSessionTransactionCount,0.8421625317897522
profileRawMeanSessionTransactionCount,profileRawMeanSessionAction5Count,0.8421625317897522
profileRawStdSessionTransactionFromCheckingCount,profileRawTransactionCount,0.8419140296981162
profileRawTransactionCount,profileRawStdSessionTransactionFromCheckingCount,0.8419140296981162
profileRawStdSessionAction5Count,profileRawStdSessionTransactionFromCheckingCount,0.8415981067860824
profileRawStdSessionTransactionFromCheckingCount,profileRawStdSessionAction5Count,0.8415981067860824
profileSessionTransactionCountZScore,amountSum,0.8412513399943705
amountSum,profileSessionTransactionCountZScore,0.8412513399943705
profileRawMeanSessionAction7Count,profileRawMeanSessionAction5Count,0.8405330129019551
profileRawMeanSessionAction5Count,profileRawMeanSessionAction7Count,0.8405330129019551
profileRawMeanSessionTransactionCount,profileRawStdSessionAction7Count,0.8403240648155063
profileRawStdSessionAction7Count,profileRawMeanSessionTransactionCount,0.8403240648155063
profileRawStdSessionTransactionCount,profileRawStdSessionAction7Count,0.8394932133785854
profileRawStdSessionAction7Count,profileRawStdSessionTransactionCount,0.8394932133785854
action9Count,profileSessionAction7CountZScore,0.8393018248260863
profileSessionAction7CountZScore,action9Count,0.8393018248260863
profileRawMeanSessionAction2Count,profileRawStdSessionAction5Count,0.8391797295076358
profileRawStdSessionAction5Count,profileRawMeanSessionAction2Count,0.8391797295076358
profileRawMeanSessionAction7Count,profileRawStdSessionAction6Count,0.8386391774168654
profileRawStdSessionAction6Count,profileRawMeanSessionAction7Count,0.8386391774168654
amountSum,repeatedRecipientCount,0.8383160061808075
repeatedRecipientCount,amountSum,0.8383160061808075
profileRawMeanSessionAction7Count,profileRawMeanSessionAction9Count,0.8374990551637342
profileRawMeanSessionAction9Count,profileRawMeanSessionAction7Count,0.8374990551637342
profileRawMeanSessionAction7Count,profileRawMeanSessionTransactionCount,0.8368675099521893
profileRawMeanSessionTransactionCount,profileRawMeanSessionAction7Count,0.8368675099521893
profileRawStdSecondsToTransaction,profileRawStdSessionAction2Count,0.8368130681464941
profileRawStdSessionAction2Count,profileRawStdSecondsToTransaction,0.8368130681464941
profileRawStdSessionAction9Count,profileRawStdSessionAction7Count,0.835695329405169
profileRawStdSessionAction7Count,profileRawStdSessionAction9Count,0.835695329405169
