feature_1,feature_2,correlation
profileRawStdSessionTransactionFromCheckingCount,profileRawMeanSessionTransactionFromCheckingCount,0.9903889274896733
profileRawMeanSessionTransactionFromCheckingCount,profileRawStdSessionTransactionFromCheckingCount,0.9903889274896733
profileRawAmountMin,profileRawAmountPercentile10,0.989588003208388
profileRawAmountPercentile10,profileRawAmountMin,0.989588003208388
profileRawStdSessionTransactionCount,profileRawMeanSessionTransactionCount,0.9886407435488773
profileRawMeanSessionTransactionCount,profileRawStdSessionTransactionCount,0.9886407435488773
profileRawStdSessionAction1Count,profileRawMeanSessionAction1Count,0.9869965880108597
profileRawMeanSessionAction1Count,profileRawStdSessionAction1Count,0.9869965880108597
profileRawMeanSessionAction2Count,profileRawStdSessionAction2Count,0.9844811425599737
profileRawStdSessionAction2Count,profileRawMeanSessionAction2Count,0.9844811425599737
profileRawMeanSessionAction5Count,profileRawStdSessionAction5Count,0.9844104053727094
profileRawStdSessionAction5Count,profileRawMeanSessionAction5Count,0.9844104053727094
secondsToTransaction,actionCount,0.9839223731500463
actionCount,secondsToTransaction,0.9839223731500463
profileRawStdSecondsToTransaction,profileRawStdSessionActionCount,0.9827475125904765
profileRawStdSessionActionCount,profileRawStdSecondsToTransaction,0.9827475125904765
profileRawMeanSessionActionCount,profileRawStdSessionActionCount,0.982288984704202
profileRawStdSessionActionCount,profileRawMeanSessionActionCount,0.982288984704202
profileRawMeanSessionActionCount,profileRawMeanSecondsToTransaction,0.9813812577432147
profileRawMeanSecondsToTransaction,profileRawMeanSessionActionCount,0.9813812577432147
profileRawStdSecondsToTransaction,profileRawMeanSecondsToTransaction,0.9799862635658966
profileRawMeanSecondsToTransaction,profileRawStdSecondsToTransaction,0.9799862635658966
profileSessionAction7CountZScore,profileSessionAction9CountZScore,0.9787729785647254
profileSessionAction9CountZScore,profileSessionAction7CountZScore,0.9787729785647254
profileSessionAction9CountZScore,profileSessionTransactionCountZScore,0.977830512328768
profileSessionTransactionCountZScore,profileSessionAction9CountZScore,0.977830512328768
profileSessionTransactionCountZScore,profileSessionAction7CountZScore,0.9771539980248545
profileSessionAction7CountZScore,profileSessionTransactionCountZScore,0.9771539980248545
profileRawMeanSessionAction6Count,profileRawStdSessionAction6Count,0.9730201344215998
profileRawStdSessionAction6Count,profileRawMeanSessionAction6Count,0.9730201344215998
profileRawMeanSessionAction7Count,profileRawStdSessionAction7Count,0.9717845929721153
profileRawStdSessionAction7Count,profileRawMeanSessionAction7Count,0.9717845929721153
profileSecondsToTransactionZScore,profileSessionActionCountZScore,0.9705860154543584
profileSessionActionCountZScore,profileSecondsToTransactionZScore,0.9705860154543584
profileRawMeanSecondsToTransaction,profileRawStdSessionActionCount,0.9696659002972962
profileRawStdSessionActionCount,profileRawMeanSecondsToTransaction,0.9696659002972962
distinctRecipientCount,transactionCount,0.9692127680457482
transactionCount,distinctRecipientCount,0.9692127680457482
profileSessionTransactionFromCheckingCountZScore,profileSessionTransactionCountZScore,0.9642366841189721
profileSessionTransactionCountZScore,profileSessionTransactionFromCheckingCountZScore,0.9642366841189721
profileRawMeanSessionAction4Count,profileRawStdSessionAction4Count,0.9639943140940392
profileRawStdSessionAction4Count,profileRawMeanSessionAction4Count,0.9639943140940392
profileRawStdSessionAction5Count,profileRawStdSessionAction1Count,0.9631916874338226
profileRawStdSessionAction1Count,profileRawStdSessionAction5Count,0.9631916874338226
profileRawAmountPercentile25,profileRawAmountPercentile10,0.9619492503916877
