dataset1,dataset2,feature,csi
test,validation,profileSessionAction7CountZScore,0.09042496320647427
train,test,profileRawTransactionCount,0.09014891412242802
test,validation,action1Count,0.08967275531085961
train,test,profileRawAmountPercentile50,0.08867590985874087
train,validation,amountMax,0.08634910621223461
test,validation,profileRawAmountStd,0.08532690042305588
train,test,profileRawMeanSessionTransactionFromCreditCardCount,0.08442633520048878
test,validation,homeLongitude,0.08410020026235814
train,test,profileRawMeanSessionTransactionFromSavingsCount,0.0829345931567808
train,test,profileRawStdSessionTransactionCount,0.0818418115770948
test,validation,profileRawStdSessionAction7Count,0.081776787583169
train,validation,profileRawMeanSessionTransactionFromSavingsCount,0.08119811270651504
test,validation,action0Count,0.08100341578860351
train,validation,action8Count,0.0809763079549792
train,validation,profileRawMeanSessionAction8Count,0.07944323418466394
train,test,profileRawMeanSessionActionCount,0.07844640196604095
train,validation,profileRawStdSessionTransactionFromCreditCardCount,0.07694791875019599
train,validation,profileRawStdSessionAction2Count,0.07693124591743972
test,validation,profileSessionAction9CountZScore,0.07670779316183704
train,test,dayOfWeek,0.0755942366611118
train,validation,profileRawStdSessionAction9Count,0.07547923652481821
train,validation,profileRawAmountPercentile25,0.07496332041598852
train,test,profileRawAmountPercentile90,0.07470216481051498
train,test,profileRawAmountPercentile25,0.07420500123652544
test,validation,profileSessionAction8CountZScore,0.07165054248904
test,validation,secondsToTransaction,0.07140012771655771
train,validation,longitude,0.07137626640126997
train,test,dayOfMonth,0.07090838584469969
train,test,profileRawMeanSessionAction7Count,0.07085019328996292
train,validation,profileRawMeanSessionAction2Count,0.07060944805180233
train,test,profileRawMeanSessionAction8Count,0.07034281358762111
test,validation,profileRawAmountPercentile10,0.06908042405919754
train,test,profileDistinctRecipientCount,0.06831072220438407
train,test,profileRawAmountPercentile75,0.0680013889814603
test,validation,hour,0.06663278979891848
train,validation,action3Count,0.0665652095382947
test,validation,profileRawMeanSessionAction7Count,0.06629292771274077
train,test,profileSessionAction2CountZScore,0.06363274624333161
train,validation,profileRawMeanSessionAction7Count,0.0635430992111007
test,validation,dayOfMonth,0.06311448823633581
train,validation,age,0.06264132142551618
train,test,profileRawAmountAvg,0.0613958359918985
train,validation,profileRawMeanSessionAction5Count,0.060965183485983475
train,validation,profileRawMeanSessionAction9Count,0.058228446299721924
train,test,age,0.0578716086749406
train,test,action3Count,0.05709712894166248
train,test,profileRawMeanSessionAction0Count,0.05594261039082078
train,test,homeLongitude,0.055862435668662926
train,test,hour,0.05532607899360405
test,validation,amountAvg,0.05532525629494478
train,test,profileRawStdSessionAction7Count,0.054224130850076865
test,validation,distanceFromHome,0.053726761839845684
train,test,action0Count,0.05115391985994276
train,test,profileRawStdSessionTransactionFromSavingsCount,0.05061409810801929
test,validation,profileRawAmountAvg,0.04890316663781729
train,test,profileRawAmountMax,0.04863611520293555
train,validation,profileRawMeanSessionTransactionCount,0.04842581528411326
test,validation,homeLatitude,0.04797245540341133
train,test,profileSessionAction8CountZScore,0.04779567234297287
train,test,profileRawStdSessionTransactionFromCreditCardCount,0.047132379329042254
train,validation,profileRawStdSessionAction8Count,0.04642722237181609
test,validation,latitude,0.04642453263764159
train,test,profileSessionTransactionFromSavingsCountZScore,0.045729974418979885
train,test,longitude,0.04491129929712534
train,test,profileSessionAction7CountZScore,0.04341673551159491
train,test,profileRawAmountPercentile10,0.04179758172576837
train,test,profileRawAmountMin,0.041668535469314025
test,validation,profileRawAmountPercentile25,0.04106228530863226
test,validation,profileSessionAction5CountZScore,0.0404254874730323
train,test,homeLatitude,0.036049864936936474
train,validation,action2Count,0.03542693106233892
test,validation,profileSessionTransactionFromCreditCardCountZScore,0.0336095374511161
train,validation,profileRecipientTxnCount,0.03356001198582499
train,validation,action0Count,0.033552046329987706
train,test,profileRawStdSessionAction8Count,0.03340774011672792
train,test,profileRawSessionCount,0.03302285090452114
train,test,action6Count,0.0324589589302053
train,test,profileSecondsToTransactionZScore,0.03234947125682374
test,validation,age,0.0323035591338124
test,validation,profileSessionAction4CountZScore,0.03221358738651432
test,validation,profileSessionAction6CountZScore,0.0314821460160809
train,validation,homeLatitude,0.030852048848623588
train,test,profileRawStdSessionAction6Count,0.030732569006335437
train,validation,profileRawMeanSessionAction1Count,0.030429531179278733
train,validation,profileSessionAction2CountZScore,0.029478561482191523
train,test,profileSessionTransactionFromCreditCardCountZScore,0.028803741231039758
train,validation,profileRawAmountPercentile50,0.02822792282272909
train,validation,profileSessionAction3CountZScore,0.027376061692296554
test,validation,action9Count,0.026930893932594662
train,test,action5Count,0.02611016892845052
train,validation,profileRawAmountPercentile75,0.026035692810380245
train,validation,dayOfMonth,0.025917238257456638
test,validation,profileSecondsToTransactionZScore,0.0257028064404591
train,validation,profileSessionAction8CountZScore,0.02569451148200489
test,validation,repeatedRecipientCount,0.02560534304114498
train,validation,latitude,0.02533943273338728
test,validation,profileSessionAction0CountZScore,0.025229414567006492
train,validation,profileAmountZScore,0.02521388066144494
test,validation,actionCount,0.024854114310514524
train,validation,profileRawAmountMin,0.02429033209456243
train,test,latitude,0.024161310339000173
train,test,amountAvg,0.024052206281858834
train,validation,profileRawAmountStd,0.023292828785570756
train,validation,profileRawAmountPercentile90,0.023109764112549547
test,validation,recipientTransactionCount,0.023104207615369455
train,test,action1Count,0.022880569442895394
test,validation,action4Count,0.02262849597422265
train,test,profileSessionAction1CountZScore,0.0225580962025327
train,validation,dayOfWeek,0.022516026532444597
train,validation,action4Count,0.02247138577270088
train,test,profileSessionAction9CountZScore,0.02224012464432359
train,validation,profileSessionTransactionFromCheckingCountZScore,0.022158561359934888
test,validation,amountMin,0.02148485879409051
train,test,recipientTransactionCount,0.021109650079745555
test,validation,profileSessionAction3CountZScore,0.020688999930213017
test,validation,action3Count,0.02030960603586577
