,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,neg_log_loss_mean,neg_log_loss_std
dayOfMonth,1.835910627945303e-06,2.22898637653449e-06,5.915992645499912e-06,6.967970760518073e-06,0.00039957548855835273,8.182896855135434e-05
profileRawMeanSecondsToTransaction,1.8359106279230986e-06,1.3049054423118202e-06,6.004586100538667e-06,3.9379011454324834e-06,0.0007306656982593258,6.405772974079274e-05
profileRawMeanSessionTransactionFromSavingsCount,1.5119263995222454e-06,9.897881672148524e-07,4.977317166909856e-06,3.0915115799676764e-06,0.0005805386269808948,4.580905863584301e-05
profileRawAmountStd,1.2959369138476618e-06,8.773534380984882e-07,3.901392785410351e-06,2.6510925360918103e-06,0.0003439172299909289,6.851412667874872e-05
profileRawMeanSessionAction3Count,1.1879421710991878e-06,1.4649119643949627e-06,3.7164077545170925e-06,4.49607100374533e-06,0.00020305877148036957,3.181100044917125e-05
age,1.1879421710769833e-06,6.297121502509645e-07,3.7337213863120056e-06,1.9727470425317477e-06,0.00044723944310709403,6.538288409698734e-05
profileRawMeanSessionAction8Count,1.1879421710325744e-06,2.5873701338083362e-06,3.4979175649096915e-06,8.232386605899145e-06,0.0010799265402864349,0.00011259459857451085
profileRawAmountPercentile90,1.0799474282396914e-06,5.145357359837251e-06,2.958796637853034e-06,1.607395175867661e-05,0.0014965271226488803,0.00021106626687453258
profileRawAmountPercentile75,1.0799474282396914e-06,3.4150936261978037e-07,3.4707462762018084e-06,1.0988693468641713e-06,0.00019137578909584756,2.6570384435001978e-05
profileRawTransactionCount,1.0799474282396914e-06,1.448901516882854e-06,3.3193292035660347e-06,4.562216722027742e-06,0.0004978982355395573,9.348897741341084e-05
profileRawStdSessionAction9Count,1.0799474282396914e-06,6.830187252044524e-07,3.3534863387307823e-06,2.1460187331739407e-06,0.0001224945281367934,2.9857983089261306e-05
profileRawMeanSessionAction7Count,9.719526854468086e-07,7.935960444001915e-07,3.1071886101852186e-06,2.535323098357698e-06,0.00011318927760148867,2.3711295206553088e-05
profileRawInd,8.639579426539256e-07,1.2594243005057371e-06,2.8747360258041255e-06,3.8582470711703865e-06,0.00027228440409758083,6.367859481429433e-05
profileRawMeanSessionAction4Count,6.47968456979342e-07,7.163560825004963e-07,1.967844368389038e-06,2.2144811615228466e-06,0.0004011206125995079,7.309792185310242e-05
profileRawAmountPercentile10,6.479684569571376e-07,4.0407932722836437e-07,1.975423291478151e-06,1.2148846912567067e-06,0.0002485225171772687,3.231671051947835e-05
amountMin,6.479684569571376e-07,4.0407932713934856e-07,2.0594147651875617e-06,1.2753067930856362e-06,0.0002913512330872982,4.922303860442279e-05
accountTypeChecking,6.479684569349331e-07,6.29712150300469e-07,2.082633964173297e-06,2.024620915088453e-06,5.0260632173702854e-05,1.1361999518182246e-05
action0Count,5.399737141420502e-07,5.915115673381929e-07,1.7353737604475227e-06,1.902025082453272e-06,0.0001371300745932426,4.440542108551387e-05
amount,4.3197897137137176e-07,7.163560824971489e-07,1.4692945192074091e-06,2.244842672485561e-06,0.00010221996986873039,2.3417250662877075e-05
profileSessionAction7CountZScore,4.319789713491673e-07,4.040793272105612e-07,1.3653586091511015e-06,1.26286290680994e-06,7.330282173978602e-05,2.556231422872552e-05
secondsToTransaction,4.319789713047584e-07,6.297121502205004e-07,1.195556237942874e-06,1.970874044146771e-06,0.0001480659735262839,2.4554575978845716e-05
profileRawStdSessionTransactionFromCheckingCount,3.2398422851187546e-07,2.6453201480912875e-07,1.0403878565323765e-06,8.494731277427357e-07,6.323502320658772e-05,8.820998048404792e-06
amountMod250,3.23984228489671e-07,7.324559822441339e-07,1.1394161386180102e-06,2.3250611581814483e-06,7.435347840279161e-05,2.366843622711305e-05
profileSessionAction3CountZScore,2.1598948571899256e-07,2.645320148181937e-07,6.935919043327132e-07,8.494731277608657e-07,0.00012255663687587502,1.0754160444156759e-05
profileRawStdSessionAction2Count,2.1598948571899256e-07,5.506673009882739e-07,7.365106750922834e-07,1.753542870468281e-06,7.511451865716417e-05,1.4138595978335456e-05
genderMale,2.159894856967881e-07,4.3197897128255384e-07,6.940561559032332e-07,1.388112312028511e-06,6.445913974476303e-05,1.9232806907197243e-05
dayOfWeek,2.159894856967881e-07,4.3197897125479837e-07,6.940549162726129e-07,1.386373610366174e-06,0.00012569680874804714,1.6806830942423784e-05
amountMod100,1.079947429039052e-07,6.297121502166923e-07,3.640996242726402e-07,2.0057308558360795e-06,4.6713402925667445e-05,1.1909477849359461e-05
profileSessionAction8CountZScore,1.0799474288170075e-07,1.047047878873339e-06,3.222950994308249e-07,3.3074574805023295e-06,0.00010721309781130256,4.029550763828851e-05
profileRawMeanSessionTransactionCount,1.0799474285949628e-07,5.290640295684004e-07,4.1276583813143474e-07,1.6697611436480578e-06,0.00011013671073735603,3.276279866901286e-05
profileSessionAction5CountZScore,1.0799474283729183e-07,1.2959369138162055e-06,4.0531108671526537e-07,4.020686928956996e-06,0.00028861991980715096,3.433107735518155e-05
profileRawStdSessionAction3Count,1.1102230246251565e-16,9.659343445885695e-07,-1.0578949201089927e-07,3.036505177093061e-06,0.00014026734926302005,4.73358246665114e-05
profileRawStdSessionActionCount,1.1102230246251565e-16,7.021666937153402e-17,-2.2204460492503132e-17,4.4408920985006264e-17,3.330141671055928e-05,1.5700008925818366e-05
profileRawStdSessionAction7Count,1.1102230246251565e-16,0.0,-6.661338147750939e-17,5.438959822042074e-17,6.341609901760609e-05,8.275181259415581e-06
profileSessionTransactionFromCreditCardCountZScore,8.881784197001253e-17,4.4408920985006264e-17,1.049756688686898e-07,5.43895982204208e-17,4.609276908865145e-05,1.3197765483949335e-05
profileSessionAction6CountZScore,6.661338147750939e-17,5.438959822042074e-17,-4.4408920985006264e-17,5.438959822042074e-17,9.156054715290448e-05,7.140269188901768e-06
accountTypeCreditCard,6.661338147750939e-17,5.915115673179232e-07,1.3902754503192227e-09,1.8994822611901944e-06,3.038643069551844e-05,1.2434972544621005e-05
profileRawMeanSessionAction0Count,4.4408920985006264e-17,5.438959822042074e-17,-4.4408920985006264e-17,5.438959822042074e-17,3.8476825157269386e-05,6.699481729019409e-06
amountMod500,0.0,0.0,0.0,0.0,0.0,0.0
transactionCount,0.0,0.0,0.0,0.0,0.0,0.0
profileSessionTransactionCountZScore,0.0,0.0,0.0,0.0,0.0,0.0
accountTypeSavings,0.0,0.0,0.0,0.0,0.0,0.0
action2Count,0.0,0.0,0.0,0.0,0.0,0.0
action3Count,0.0,0.0,0.0,0.0,0.0,0.0
maritalStatusSingle,0.0,0.0,0.0,0.0,0.0,0.0
amountMod1,0.0,0.0,0.0,0.0,0.0,0.0
maritalStatusMarried,0.0,0.0,0.0,0.0,0.0,0.0
amountMod1000,0.0,0.0,0.0,0.0,0.0,0.0
action8Count,0.0,0.0,0.0,0.0,0.0,0.0
profileRawMeanSessionAction2Count,0.0,0.0,0.0,0.0,0.0,0.0
profileSessionAction4CountZScore,0.0,0.0,0.0,0.0,6.963718087280024e-06,7.983445441432437e-06
profileRawStdSessionAction6Count,0.0,0.0,0.0,0.0,0.0,0.0
actionCount,0.0,0.0,0.0,0.0,0.0,0.0
recipientTransactionCount,0.0,0.0,0.0,0.0,0.0,0.0
profileSessionActionCountZScore,0.0,0.0,0.0,0.0,0.0,0.0
distinctRecipientCount,0.0,0.0,0.0,0.0,0.0,0.0
repeatedRecipientCount,0.0,0.0,0.0,0.0,0.0,0.0
profileSessionAction9CountZScore,-1.0799474272626953e-07,6.297121502852369e-07,-3.8859553828096696e-07,1.9749730475785073e-06,0.00015105269209071196,2.0000688627077495e-05
action6Count,-1.0799474274847398e-07,2.1598948560797026e-07,-2.4182028335317796e-07,6.935919044104288e-07,0.00016449145878840652,1.616018368644214e-05
profileRawMeanSessionTransactionFromCreditCardCount,-2.1598948556356136e-07,8.081586543617786e-07,-7.147877798985291e-07,2.5267859594897334e-06,0.00014512478786333078,4.340380394858047e-05
profileRawStdSessionTransactionFromCreditCardCount,-2.159894855857658e-07,2.645320147909989e-07,-6.516016369362277e-07,7.980457629373597e-07,6.632567939009251e-05,1.807938128283333e-05
profileRawSessionCount,-3.2398422835644423e-07,7.324559822539556e-07,-1.0176082179569334e-06,2.2098812244355823e-06,9.766955318387532e-05,2.0158653743654028e-05
profileRawMeanSessionActionCount,-3.239842283786487e-07,1.8580118096700609e-06,-1.2540435411656503e-06,5.8250532500040174e-06,0.0009781535823905492,0.0001014677705990267
profileRawStdSessionAction1Count,-3.239842283786487e-07,2.6453201474567423e-07,-9.91258630955727e-07,8.093592828998003e-07,3.2839960911159455e-05,1.4257815459289767e-05
profileSecondsToTransactionZScore,-4.319789711715316e-07,7.16356082483759e-07,-1.4070804886356925e-06,2.218862146966892e-06,0.00014937701401534915,2.2107971093988297e-05
maritalStatusDivorced,-5.39973713986619e-07,4.440892098501131e-17,-1.7316647011877961e-06,0.0,2.003859196138824e-05,1.1810140955681038e-05
profileRawStdSessionAction0Count,-5.399737140088234e-07,7.636381498175573e-07,-1.6117707664964342e-06,2.3484357992757475e-06,0.0003279800577740945,4.100355922609073e-05
profileDistinctRecipientCount,-7.559631996167937e-07,6.47968456864619e-07,-2.4024131281663584e-06,2.049767418428212e-06,5.787731160556836e-05,1.2331129887711905e-05
profileSessionAction2CountZScore,-1.0799474280620559e-06,1.637821366765698e-06,-3.3528501299562307e-06,5.130553476596182e-06,0.00015385922458298064,1.8634283646933562e-05
profileRawAmountAvg,-1.1879421709215521e-06,2.6760042578739304e-06,-3.6780210018072525e-06,8.298060551170783e-06,0.0005213534684267377,9.847532968838494e-05
profileRawStdSessionAction5Count,-1.4039316565295223e-06,3.7034482071840586e-06,-4.748984658453637e-06,1.155538060809587e-05,0.0010751849493520927,0.00010670851833997065
homeLongitude,-1.5119263993446097e-06,1.9136717182512076e-06,-4.2943491705527135e-06,5.962360387529549e-06,0.0005163708591918545,9.758454182260506e-05
profileRawMeanSessionAction1Count,-1.5119263993890185e-06,7.16356082527276e-07,-4.573505531868527e-06,2.3218617149050945e-06,0.00022344986012807488,3.499504929711403e-05
profileRawAmountMax,-3.2398422843860077e-06,2.509571042366498e-06,-1.0272063011607102e-05,7.952615200205605e-06,0.0007834464197055558,5.79332455004693e-05
profileRawStdSessionAction4Count,-3.5638265128756784e-06,2.0660610829032375e-06,-1.155135177477451e-05,6.504081206989377e-06,0.0010939876469917037,0.00013461754253506707
