,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,neg_log_loss_mean,neg_log_loss_std
distanceFromHome,0.08035354238955657,0.005079845786355303,0.2044062623604797,0.012986697128081209,0.41470340241240466,0.01568112716285756
avgActionDuration,0.0006674075106024802,0.00011662882237925097,0.002072569894555465,0.00036629029070685,0.026498587725828533,0.0014651099674888382
action7Count,0.0006185938868496388,0.0001326105964513878,0.0020207916287860116,0.00044581666314599057,0.02264998472415529,0.0015643728381449845
action5Count,0.00010799474281601995,3.4482300290406933e-05,0.0003365241717962375,0.00010858659542918558,0.010253701740202955,0.0005278150207390823
longitude,5.7237213692507e-05,1.0777853690768833e-05,0.00017544268787197392,3.7749062206945264e-05,0.003738445123438401,0.0003895437863852572
amountAvg,5.324140820832657e-05,1.2953067912633233e-05,0.00016426120046311165,4.0643846785456476e-05,0.004502127542254889,0.0003513317387548254
hour,4.481781826866093e-05,4.805462689679711e-06,0.0001340590559123056,1.4389648791826902e-05,0.0029450759619853487,0.0002172182265257876
action9Count,3.488230192962849e-05,1.0401188916533195e-05,0.0001095107019799535,3.4814227530006096e-05,0.004209278966520325,0.00038640251690238026
homeLatitude,3.121048067387111e-05,3.1000323108563068e-06,9.442115863220746e-05,9.468009704742406e-06,0.002651595676455322,0.0002010550382596915
profileSessionTransactionFromCheckingCountZScore,1.4471295537421547e-05,7.126016553975934e-06,4.438102385737608e-05,2.169922419747818e-05,0.00139022831193769,0.00022003127989010505
profileRawMeanSessionAction9Count,1.436330079460646e-05,4.0781423151123795e-06,4.381864518712142e-05,1.2201927249059131e-05,0.0013755734309655661,0.00012899688361605436
amountMax,1.069147953884908e-05,3.973854363225598e-06,3.432796099693825e-05,1.2958268537367563e-05,0.0012155166506770793,9.83223087149354e-05
profileRecipientTxnCount,8.85556891097039e-06,5.576127392053921e-06,2.6601459957387165e-05,1.670726375526813e-05,0.0009988621673681752,0.0001995141197677605
profileRawMeanSessionAction5Count,8.747574168177507e-06,5.1949849275154436e-06,2.6997865392530686e-05,1.6529136980970607e-05,0.004777109864925284,0.0002928408583131291
latitude,7.23564776874408e-06,3.6238633252219726e-06,2.228567159789918e-05,1.097841821379465e-05,0.0010105671659061343,8.633260104653462e-05
profileSessionAction1CountZScore,6.371689826223381e-06,2.845000517800005e-06,1.959216139995057e-05,8.742889998682115e-06,0.0010463096724188103,0.00011355461993603335
action4Count,6.155700340571002e-06,2.0660610828591325e-06,1.834840283228001e-05,6.524761370016226e-06,0.0008336775329986452,0.00010363538571710952
profileSessionAction0CountZScore,5.507731883680478e-06,4.0407932718682365e-07,1.7209588864242064e-05,1.2384660560115586e-06,0.0008380531154159397,2.8481493744504108e-05
profileRawAmountPercentile25,5.18374765525742e-06,2.121760044803488e-06,1.5606663602785176e-05,6.447268954231115e-06,0.0008210281619614706,8.486173205308353e-05
profileRawStdSecondsToTransaction,5.075752912375719e-06,3.356534981703375e-06,1.5603444566925085e-05,1.0172759170113072e-05,0.00046451043831532355,7.330598918713112e-05
profileRawStdSessionTransactionCount,4.2117949699438386e-06,1.8199597553801621e-06,1.3067307624381464e-05,5.6385170745060854e-06,0.0006991562229327876,0.00011724491401326772
profileRawMeanSessionTransactionFromCheckingCount,3.995805484247051e-06,2.6142759194117047e-06,1.2419887169867749e-05,8.168076158190906e-06,0.0010932369905951311,0.0001163076379840541
profileRawAmountPercentile50,3.347837027356526e-06,2.1598948564127697e-07,1.0506505556362455e-05,7.21432878379185e-07,0.00045313357681991755,5.032342586494282e-05
amountSum,3.0238527989334685e-06,5.506673009795646e-07,9.681508365333436e-06,1.720537345454586e-06,9.823619414313505e-05,3.367780145090547e-05
profileRawAmountMin,2.8078633132588847e-06,1.6163173087650977e-06,8.88537218557417e-06,4.973496960069317e-06,0.0014562254322494194,4.892249141967082e-05
profileRawStdSessionAction8Count,2.59187382762871e-06,4.003095775775235e-06,7.821347079839392e-06,1.2519154304594772e-05,0.0006707654953058834,0.00012707528611241714
profileSessionTransactionFromSavingsCountZScore,2.375884341998535e-06,9.414763407649205e-07,7.568140382652189e-06,2.9412967155483087e-06,0.0005452521486554778,8.366038315775273e-05
action1Count,2.2678895992056524e-06,4.003095775744086e-06,6.603760658574487e-06,1.2348674244802662e-05,0.0013295106112098762,0.0002036453688376471
profileRawMeanSessionAction6Count,2.267889599183448e-06,9.897881671954706e-07,6.963238037660524e-06,3.013167077367432e-06,0.0001925556501953342,1.9967588436492736e-05
profileAmountZScore,2.051900113597682e-06,9.290059048259962e-07,6.350652027742321e-06,2.8883868155845665e-06,0.0007417785468580406,5.442819565634141e-05
profileRawStdSessionTransactionFromSavingsCount,1.835910627989712e-06,1.3914149283675768e-06,5.661757371244747e-06,4.255235531946169e-06,0.0004373760954606773,6.51313202104564e-05
