,gain,total_gain,weight,cover,total_cover
profileRecipientTxnCount,0.005986710610176206,0.0026263068486915564,0.008724100327153763,0.010817760683840055,0.006439874150479464
profileSessionAction9CountZScore,0.005980129550364091,0.0016396373495237647,0.0054525627044711015,0.02461781737636273,0.009159453606555089
profileRawAmountPercentile25,0.005704139730690144,0.003753518853273392,0.013086150490730643,0.005358909696333221,0.004785284038606571
profileSessionAction6CountZScore,0.005593120563742762,0.0006134107608753635,0.0021810250817884407,0.0091694580495366,0.0013646575662218097
profileRawStdSessionAction0Count,0.005556028508033619,0.0015233569086498294,0.0054525627044711015,0.0041117119049294895,0.0015298283182172945
profileRawMeanSessionAction0Count,0.005464310545690659,0.0002996419307693596,0.0010905125408942203,0.009078108857723756,0.000675531196759444
profileRawSessionCount,0.005291585144431654,0.0008705110173092588,0.003271537622682661,0.005767941431850016,0.0012876330996926745
action1Count,0.005254824297022483,0.004322317508991455,0.016357688113413305,0.004656375404304269,0.00519743759912851
action0Count,0.005171247947601882,0.0008507144599763943,0.003271537622682661,0.0033519598733710125,0.0007482902380047033
profileSessionAction1CountZScore,0.005082756401531954,0.003344627496663312,0.013086150490730643,0.0055280176653025506,0.00493629015914942
amountSum,0.004880521268347005,0.0010705166214696384,0.004362050163576881,0.0077487436731609296,0.0023064354785563013
profileSessionAction4CountZScore,0.004871691047723553,0.00026714493977706083,0.0010905125408942203,0.00217030393889293,0.00016149927701348228
profileRawMeanSessionAction9Count,0.0047698736876472005,0.0036618631224907623,0.015267175572519083,0.005753178567146096,0.005993574574796698
longitude,0.0047611591443871655,0.007310346419417348,0.030534351145038167,0.008303335707450489,0.017300579291282328
profileRawAmountPercentile75,0.0047606211355176896,0.0020884343183356054,0.008724100327153763,0.017735438317660442,0.01055800679154802
profileRawStdSessionTransactionFromCreditCardCount,0.004641125873460332,0.0005090032515681301,0.0021810250817884407,0.011387342568421563,0.001694737367378165
profileRawMeanSessionTransactionCount,0.004590201642455848,0.0007551273761432842,0.003271537622682661,0.0032063981848905673,0.0007157951016841494
profileRawMeanSessionAction3Count,0.004447735966217203,0.0007316905995234006,0.003271537622682661,0.003984584225612426,0.0008895170420598758
action4Count,0.00431454930603319,0.0028391209022242273,0.013086150490730643,0.007440548663800731,0.006644101086046446
maritalStatusDivorced,0.004294780753967605,0.00023550938157510635,0.0010905125408942203,0.0027992418598903816,0.00020830056493781945
profileRawStdSessionActionCount,0.004160814362876411,0.0002281631760933506,0.0010905125408942203,0.011584361426472463,0.0008620294888247322
dayOfMonth,0.004146511020584323,0.0013642730423445652,0.006543075245365322,0.006517436262626964,0.0029099000159377233
profileRawStdSessionAction9Count,0.004145976831250431,0.0004546990850000783,0.0021810250817884407,0.004321861184394071,0.000643207104889016
profileSecondsToTransactionZScore,0.0041249273706441825,0.0009047810817399118,0.004362050163576881,0.00871877862773939,0.002595169127396545
hour,0.003959927525752795,0.005862977517518415,0.029443838604143947,0.006221461416148858,0.012499890359369931
amount,0.0037427741050466497,0.0006157183475254827,0.003271537622682661,0.027497200898848013,0.006138464735944311
profileSessionAction8CountZScore,0.0034805032387203614,0.000381715022152849,0.0021810250817884407,0.0032125237847340604,0.00047810839700896117
profileRawStdSessionTransactionFromSavingsCount,0.0032820207992471954,0.0008998674738911881,0.0054525627044711015,0.0055435337515700135,0.0020625605635452363
amountMod250,0.0032618389188665713,0.000357733589017417,0.0021810250817884407,0.024615384461447766,0.00366341941577137
profileRawStdSessionAction7Count,0.003250663230570258,0.0003565079248496201,0.0021810250817884407,0.002376026767772984,0.0003536155450703892
profileSessionTransactionFromCheckingCountZScore,0.0031234977954112592,0.0023979296758174992,0.015267175572519083,0.005324740953560438,0.005547234737139375
accountTypeCreditCard,0.00303712118075927,0.00016654413159239645,0.0010905125408942203,0.004836100276726769,0.00035986973264881783
secondsToTransaction,0.0029898522453091643,0.000655808334470352,0.004362050163576881,0.0034601020611929626,0.0010299091685021199
accountTypeChecking,0.0028432993931711203,0.0001559156846598034,0.0010905125408942203,0.006044135642421063,0.00044976351880020115
genderMale,0.0027895950859090518,0.00015297074546132976,0.0010905125408942203,0.002561323209909828,0.0001905962751048097
amountMod100,0.0027785920951859523,0.00015236738345308757,0.0010905125408942203,0.005583668509420828,0.0004154986825552177
dayOfWeek,0.002366754490321469,0.0002595675627170418,0.0021810250817884407,0.006771613797630911,0.0010077950032102538
profileRawAmountPercentile10,0.0023431121107012768,0.000513949294051961,0.004362050163576881,0.006630397725071502,0.001973556642867453
profileSessionTransactionFromCreditCardCountZScore,0.002087029164845869,0.00022888942467574853,0.0021810250817884407,0.06801847536779046,0.010122945822105376
profileRawStdSessionAction2Count,0.0015458937326703476,8.477091097739712e-05,0.0010905125408942203,0.006665961734356827,0.0004960355927139459
recipientTransactionCount,0.0,0.0,0.0,0.0,0.0
maritalStatusSingle,0.0,0.0,0.0,0.0,0.0
profileSessionTransactionCountZScore,0.0,0.0,0.0,0.0,0.0
profileSessionActionCountZScore,0.0,0.0,0.0,0.0,0.0
profileRawStdSessionAction6Count,0.0,0.0,0.0,0.0,0.0
profileRawMeanSessionAction2Count,0.0,0.0,0.0,0.0,0.0
repeatedRecipientCount,0.0,0.0,0.0,0.0,0.0
distinctRecipientCount,0.0,0.0,0.0,0.0,0.0
amountMod1,0.0,0.0,0.0,0.0,0.0
actionCount,0.0,0.0,0.0,0.0,0.0
action8Count,0.0,0.0,0.0,0.0,0.0
action3Count,0.0,0.0,0.0,0.0,0.0
action2Count,0.0,0.0,0.0,0.0,0.0
transactionCount,0.0,0.0,0.0,0.0,0.0
accountTypeSavings,0.0,0.0,0.0,0.0,0.0
amountMod1000,0.0,0.0,0.0,0.0,0.0
amountMod500,0.0,0.0,0.0,0.0,0.0
maritalStatusMarried,0.0,0.0,0.0,0.0,0.0
