,gain,total_gain,weight,cover,total_cover
profileRawStdSessionAction4Count,0.10755708314619496,0.03538812005396472,0.006543075245365322,0.032640042087463905,0.01457310186978694
profileRawStdSessionAction5Count,0.10280241175582205,0.03382375092559947,0.006543075245365322,0.03224863740418325,0.014398347251128893
distanceFromHome,0.08094479416727626,0.4438703569484539,0.10905125408942203,0.037390192649957577,0.2782324202573623
profileRawMeanSessionAction5Count,0.044940066387598995,0.054215516606369134,0.023991275899672846,0.0213643375165379,0.034975354477156495
profileRawMeanSessionTransactionFromCheckingCount,0.02966511063352208,0.01464049256782007,0.009814612868047983,0.013232923472876523,0.008862338434949983
avgActionDuration,0.02667940149302623,0.09363177801315399,0.0697928026172301,0.015181657746193664,0.07230181412845492
profileRawStdSessionTransactionCount,0.02512709639705331,0.00826724427473684,0.006543075245365322,0.014261234892620102,0.006367345236753157
profileRawAmountMin,0.022468586135460905,0.020945554879958164,0.018538713195201745,0.016216813939506077,0.020514667349533472
profileRawMeanSessionTransactionFromCreditCardCount,0.020434718358176163,0.003361685960399636,0.003271537622682661,0.017609275095474556,0.003931087916793797
profileRawAmountMax,0.017794804869696812,0.008782192340117097,0.009814612868047983,0.011854422393807768,0.00793913025531168
profileDistinctRecipientCount,0.014246896103924796,0.000781245395984521,0.0010905125408942203,0.016290044122563418,0.0012121944310038448
profileRawMeanSessionAction6Count,0.013969309718376524,0.0038301182110063083,0.0054525627044711015,0.007001376948080735,0.0026049745728026407
profileAmountZScore,0.013937186332814891,0.00993540710788479,0.014176663031624863,0.01648245934230036,0.015944664088878166
profileRawMeanSessionAction8Count,0.013152849065718761,0.00793377218175578,0.011995637949836423,0.013328577979087632,0.010910044260252676
profileSessionAction2CountZScore,0.011891185527921976,0.0013041344414559993,0.0021810250817884407,0.00587291114865233,0.0008740443100845913
age,0.01184383965611224,0.00454629649747099,0.007633587786259542,0.0034951034704851,0.001820572997533224
profileRawMeanSessionActionCount,0.01149238126976773,0.005671785038047135,0.009814612868047983,0.009158369108707506,0.006133532368294245
amountMin,0.011463064697212774,0.003771544132442908,0.006543075245365322,0.008096037644913097,0.0036147129057025966
amountMax,0.011216436193224917,0.01107119765455495,0.019629225736095966,0.017226482893934005,0.023073802285469288
homeLongitude,0.011057466030901622,0.004850793809336382,0.008724100327153763,0.004801108363770458,0.0028581269773959132
profileSessionAction0CountZScore,0.011047166380374014,0.005452059654481645,0.009814612868047983,0.008988868315700118,0.0060200145583342735
profileRawAmountAvg,0.010744458363638461,0.00589185080575375,0.010905125408942203,0.008878325407857832,0.006606646970565246
profileRawTransactionCount,0.01044346149884477,0.004008756930786139,0.007633587786259542,0.013341134451228722,0.006949296229257665
profileSessionTransactionFromSavingsCountZScore,0.010291612042146889,0.003950468899373683,0.007633587786259542,0.008867305952412828,0.004618912735198553
action7Count,0.010290071132362508,0.03498463032079247,0.06761177753544166,0.010316703432105265,0.04759733568939735
profileRawAmountStd,0.01015918219565655,0.0033425444989164345,0.006543075245365322,0.004926423401034542,0.00219954586509936
action9Count,0.010009901649463223,0.017564953423356074,0.03489640130861505,0.009598881429104561,0.0228570737310357
profileRawMeanSessionAction4Count,0.009648617235003586,0.0026454667416648185,0.0054525627044711015,0.00899291607094135,0.0033459587102019008
profileRawStdSessionTransactionFromCheckingCount,0.009456543703417261,0.0005185607571171871,0.0010905125408942203,0.007804605752846844,0.0005807657461576457
profileRawInd,0.009318519874239433,0.002554960226255984,0.0054525627044711015,0.045184785095721054,0.0168117239115616
profileRawStdSessionAction1Count,0.009078269994677712,0.0004978176709586975,0.0010905125408942203,0.005599853971555033,0.0004167030947050369
amountAvg,0.00906722335211936,0.02138011292427299,0.04689203925845147,0.019714917557258266,0.06308315887328549
action6Count,0.008793130204687095,0.0009643633867466411,0.0021810250817884407,0.005196758140783163,0.0007734148821372194
profileRawMeanSecondsToTransaction,0.00853308858302231,0.007018830142694817,0.016357688113413305,0.011204168904768691,0.012506071951299031
homeLatitude,0.007907856253290813,0.01431000972740888,0.03598691384950927,0.014447690119345633,0.03547826514673458
profileRawMeanSessionAction1Count,0.00788991807724212,0.002163264971132682,0.0054525627044711015,0.004708619611658524,0.0017519173684892948
profileSessionAction7CountZScore,0.007322021887465622,0.0012045352171971418,0.003271537622682661,0.02702947902851281,0.006034050544505195
profileRawStdSecondsToTransaction,0.007226458744084939,0.0023776284666804687,0.006543075245365322,0.01924808324689585,0.008593869934008467
action5Count,0.007149765197787631,0.01803502823090817,0.05016357688113413,0.007221253254846232,0.024718403566914994
profileSessionAction5CountZScore,0.006893305209205237,0.001890012745155456,0.0054525627044711015,0.004406614823549023,0.0016395517128423053
profileRawMeanSessionTransactionFromSavingsCount,0.006875711337007091,0.0026392644255743398,0.007633587786259542,0.00604300256742449,0.0031477545248013864
latitude,0.006633290869937485,0.008002375623982294,0.023991275899672846,0.021782776646588793,0.035660379433727914
profileRawAmountPercentile50,0.0066193943081851465,0.002540876174149481,0.007633587786259542,0.006045939946227953,0.0031492844798345168
profileRawMeanSessionAction7Count,0.006310798750170038,0.0010381803674328705,0.003271537622682661,0.007603963000397665,0.0016975057917793177
profileRawAmountPercentile90,0.006309323318138535,0.004843708936052988,0.015267175572519083,0.009284578654482786,0.009672533458145014
profileRawStdSessionAction3Count,0.006224070192596333,0.0010239127185357614,0.003271537622682661,0.0043763428211160485,0.0009769731517945803
profileRawStdSessionAction8Count,0.00619309703289358,0.002037634738027875,0.006543075245365322,0.009027914469200177,0.004030776290027658
profileSessionAction3CountZScore,0.0060012368496520484,0.000987254758819724,0.003271537622682661,0.006913821195003349,0.0015434387959858866
