threshold,tp,fp,fn,tn,precision,recall,fp_to_tp,accuracy,F1,specificity,fpr
0.0,771.0,2402.0,0,0,0.24298770879294043,1.0,3.1154345006485085,0.24298770879294043,0.390973630831643,0.0,1.0
0.01,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.02,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.03,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.04,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.05,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.06,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.07,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.08,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.09,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.1,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.11,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
